district,total_listings,entire_homes,month
1,99,84,A weekend in January
2,63,52,A weekend in January
3,35,29,A weekend in January
4,8,6,A weekend in January
5,271,213,A weekend in January
6,257,211,A weekend in January
7,516,466,A weekend in January
8,303,265,A weekend in January
9,179,157,A weekend in January
10,6,4,A weekend in January
11,58,44,A weekend in January
12,19,14,A weekend in January
13,159,148,A weekend in January
14,211,119,A weekend in January
15,41,28,A weekend in January
16,6,5,A weekend in January
17,8,5,A weekend in January
18,3,3,A weekend in January
19,7,4,A weekend in January
20,5,3,A weekend in January
21,8,6,A weekend in January
22,3,2,A weekend in January
23,8,5,A weekend in January
