page,price,location,alapterulet,szobak,erkely
1,260 000 Ft/hó,"Budapest II. kerület, Pasaréti út 139b",42 m2,2,1 m2
1,,,,,
1,,,,,
1,265 000 Ft/hó,"Budapest III. kerület, Tímár utca",51 m2,2,
1,200 000 Ft/hó,"Budapest VI. kerület, Izabella utca 75.",22 m2,1,
1,390 000 Ft/hó,"Budapest XIII. kerület, Lőportár köz 6.",60 m2,2 + 1 fél,5 m2
1,275 000 Ft/hó,"Budapest VIII. kerület, Kis Stáció utca 7.",48 m2,2,
1,330 000 Ft/hó,"Budapest XI. kerület, Pagus utca 4.",45 m2,2,5 m2
1,512 500 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",93 m2,4,14 m2
1,220 000 Ft/hó,"Budapest XI. kerület, Regős utca",54 m2,2,4 m2
1,490 000 Ft/hó,"Budapest XIII. kerület, Pannónia utca",70 m2,3,8 m2
1,230 000 Ft/hó,"Budapest IX. kerület, Középső-Ferencváros - Rehabilitációs terület",54 m2,2,
1,700 000 Ft/hó,"Budapest XIII. kerület, Danubius utca 14.",88 m2,2,20 m2
1,1 276 064 Ft/hó,"Budapest III. kerület, Perényi út",120 m2,4,30 m2
1,175 000 Ft/hó,"Budapest VIII. kerület, Orczy út 46-48.",22 m2,1,
1,220 000 Ft/hó,"Budapest IX. kerület, Telepy utca",40 m2,1,3 m2
1,299 000 Ft/hó,"Budapest XI. kerület, Rahó utca",43 m2,1 + 1 fél,9 m2
1,450 000 Ft/hó,"Budapest XIII. kerület, Bessenyei utca 8-10.",71 m2,3,8 m2
1,230 000 Ft/hó,"Budapest VI. kerület, Belső-Terézváros",35 m2,1,
1,400 000 Ft/hó,"Budapest XIII. kerület, Fáy utca 15.",78 m2,3,8 m2
1,250 000 Ft/hó,"Budapest XI. kerület, Igmándi utca 29.",55 m2,2,2 m2
1,290 000 Ft/hó,"Budapest XI. kerület, Bartók Béla út 61.",72 m2,2,
2,1 280 000 Ft/hó,"Budapest III. kerület, Perényi út",120 m2,4,25 m2
2,340 000 Ft/hó,"Budapest VIII. kerület, Corvin sétány 7.",48 m2,2,8 m2
2,300 000 Ft/hó,"Budapest XIII. kerület, Danubius utca",47 m2,2,12 m2
2,300 000 Ft/hó,"Budapest I. kerület, Attila út",53 m2,2,
2,265 000 Ft/hó,"Budapest XIII. kerület, Taksony utca 9.",35 m2,1,7 m2
2,350 000 Ft/hó,"Budapest VI. kerület, Zichy Jenő utca 40.",61 m2,2,
2,245 000 Ft/hó,"Budapest II. kerület, Keleti Károly utca",34 m2,2,3 m2
2,395 000 Ft/hó,"Budapest XI. kerület, Irinyi József utca",88 m2,2 + 1 fél,3 m2
2,315 000 Ft/hó,"Budapest XIV. kerület, Bartl János utca 2.",55 m2,2,15 m2
2,220 000 Ft/hó,"Budapest VII. kerület, Verseny utca 10.",40 m2,1,
2,220 000 Ft/hó,"Budapest IX. kerület, Telepy utca 32.",40 m2,1,3 m2
2,499 000 Ft/hó,"Budapest XI. kerület, Szerenád utca 6, C lph, 9/4",77 m2,4,32 m2
2,500 000 Ft/hó,"Budapest III. kerület, Hegyoldal utca 3.",120 m2,2 + 2 fél,34 m2
2,290 000 Ft/hó,"Budapest XI. kerület, Fehérvári út 160.",46 m2,2,20 m2
2,330 000 Ft/hó,"Budapest IX. kerület, Kinizsi utca",61 m2,2,
2,399 000 Ft/hó,"Budapest VIII. kerület, Nap utca",108 m2,3,
2,320 000 Ft/hó,"Budapest XIII. kerület, Cserhalom utca 6.",45 m2,2,11 m2
2,350 000 Ft/hó,"Budapest X. kerület, Somfa utca",62 m2,2 + 1 fél,9 m2
2,220 000 Ft/hó,"Budapest VIII. kerület, Szerdahelyi utca",35 m2,1,
2,250 000 Ft/hó,"Budapest XI. kerület, Fejér Lipót utca",43 m2,1 + 1 fél,6 m2
3,240 000 Ft/hó,"Budapest XIV. kerület, Gizella út 32.",66 m2,2,
3,360 000 Ft/hó,"Budapest II. kerület, Ady Endre utca",58 m2,2,12 m2
3,360 000 Ft/hó,"Budapest III. kerület, Árpád fejedelem útja 63.",62 m2,2,4 m2
3,215 000 Ft/hó,"Budapest XIV. kerület, Lőcsei út 24-26.",52 m2,2,4 m2
3,299 990 Ft/hó,"Budapest XII. kerület, Hajnóczy József utca 2.",47 m2,2,
3,800 000 Ft/hó,"Budapest II. kerület, Bimbó út",130 m2,4,
