id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
6020,"Perfect location in the center,clean,personal care",2850,Janos,,XIII. kerület,47.51425,19.04829,Entire home/apt,20594,2,127,2025-04-21,0.67,3,222,8,
6022,"2 bedrooms , quiet-local-clean perfect location",2850,Janos,,XIII. kerület,47.51481,19.04871,Entire home/apt,25865,2,52,2025-03-02,0.29,3,217,8,
15304,Budapesting's Astoria Lush Garden View Central AC,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Private room,28422,200,268,2024-12-22,1.45,34,273,2,MA19003534
15306,Budapesting's Astoria Residence Double Central AC,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Private room,27279,200,265,2024-12-22,1.46,34,273,2,MA19003534
15307,Budapesting's Astoria Residence Triple Centre AC,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Private room,28096,200,259,2024-12-21,1.47,34,273,1,MA19003534
15308,Budapesting's Parliament View Panorama Triple AC,60010,Zsuzsanna,,V. kerület,47.50413,19.05463,Private room,24666,2,139,2024-12-31,0.75,34,5,1,MA19006827
15309,Budapesting's Parliament View Penthouse 5Be/3Ba/AC,60010,Zsuzsanna,,V. kerület,47.5043,19.05416,Entire home/apt,81062,2,469,2025-04-21,2.59,34,197,70,MA19006827
15310,Budapesting's Király Residence Triple Luxurious AC,60010,Zsuzsanna,,VII. kerület,47.50429,19.06764,Private room,16375,2,210,2025-01-06,1.15,34,54,2,MA22053857
15311,Budapesting's Király Residence Deluxe Quad AC,60010,Zsuzsanna,,VII. kerület,47.50429,19.06764,Private room,16947,2,187,2025-01-06,1.03,34,54,1,MA22053857
15313,Budapesting's Astoria Residence Deluxe 3Be/2Ba/AC,60010,Zsuzsanna,,VII. kerület,47.4953,19.06096,Entire home/apt,32663,2,164,2025-03-16,0.95,34,273,38,MA19003534
